wavelength,flux
3109.5441216540917,162.27868569241673
3110.9721601276888,162.42063271669227
3112.400198601286,162.56257974096783
3113.828237074883,162.70452676524337
3115.25627554848,162.84647378951894
3116.684314022077,162.98842081379448
3118.1123524956743,163.13036783807004
3119.5403909692714,163.27231486234558
3120.9684294428685,163.41426188662115
3122.3964679164656,163.5562089108967
3123.8245063900627,163.69815593517225
3125.2525448636598,163.8401029594478
3126.680583337257,163.98204998372336
3128.108621810854,164.1239970079989
3129.536660284451,164.26594403227443
3130.964698758048,164.40789105655
3132.3927372316452,164.54983808082554
3133.8207757052423,164.6917851051011
3135.2488141788394,164.83373212937664
3136.6768526524365,164.9756791536522
3138.1048911260336,165.11762617792775
3139.5329295996307,165.2595732022033
3140.960968073228,165.40152022647885
3142.389006546825,165.54346725075442
3143.817045020422,165.68541427502996
